,VarÄ±ÅŸBÃ–LGE,VarÄ±ÅŸBayi,il,lat,long,Km,TÄ±rOranÄ±%,DÃ¶nÃ¼ÅŸOranÄ±%,T,K,T.1,K.1,T.2,K.2,T.3,K.3,T.4,K.4,T.5,K.5,T.6,K.6,T.7,K.7,T.8,K.8,T.9,K.9,T.10,K.10,T.11,K.11,TÄ±r,Kamyon,T.12,K.12,T.13,K.13,T.14,K.14,T.15,K.15,T.16,K.16,T.17,K.17,T.18,K.18,T.19,K.19,T.20,K.20,T.21,K.21,T.22,K.22,T.23,K.23,TÄ±r.1,Kamyon.1
0,GÃœNEYEGE,AYDIN,AYDIN,37.8413007,27.8328374,129,0.98,0.77,6,0,10,0,10,0,8,0,8,0,20,0,15,0,18,0,16,0,16,0,17,0,13,0,157,3,5,0,8,0,8,0,6,0,6,0,15,0,11,0,14,0,12,0,13,0,13,0,10,0,120,2
1,GÃœNEYEGE,CINE,AYDIN,37.6125412,28.08335692,159,0.92,0.70,2,0,2,0,2,0,2,0,2,0,6,1,4,0,2,0,3,0,4,0,3,0,0,0,33,3,1,0,1,0,1,0,1,0,2,0,4,0,3,0,2,0,2,0,2,0,2,0,0,0,23,2
2,GÃœNEYEGE,DENIZLI,DENIZLI,37.7733197,29.0869273,237,0.98,0.72,7,0,13,0,8,0,12,0,16,0,34,1,28,0,21,0,21,0,21,0,20,0,23,0,224,4,5,0,9,0,6,0,8,0,11,0,24,0,20,0,15,0,15,0,15,0,15,0,16,0,161,3
3,GÃœNEYEGE,ISPARTA,ISPARTA,37.9465412,30.9602093,411,0.98,0.73,10,0,9,0,12,0,10,0,8,0,25,0,24,0,17,0,19,0,23,0,19,0,8,0,184,3,7,0,7,0,9,0,7,0,6,0,18,0,17,0,12,0,14,0,17,0,14,0,6,0,134,2
4,GÃœNEYEGE,MENDERES,Ä°ZMÄ°R,38.2503903,27.134193,25,0.97,0.75,4,0,6,0,9,0,6,0,16,1,32,1,28,1,27,1,11,0,18,1,13,0,11,0,180,6,3,0,4,0,7,0,4,0,12,0,24,1,21,1,20,1,8,0,14,0,10,0,8,0,136,4
5,GÃœNEYEGE,NAZILLI,AYDIN,37.9350695,28.328919,166,0.98,0.65,5,0,6,0,6,0,5,0,5,0,8,0,10,0,12,0,12,0,13,0,10,0,5,0,96,2,3,0,4,0,4,0,3,0,3,0,5,0,7,0,8,0,8,0,8,0,7,0,3,0,62,1
6,GÃœNEYEGE,ODEMIS,Ä°ZMÄ°R,38.2313406,27.9751807,100,0.98,0.69,7,0,8,0,7,0,7,0,9,0,16,0,17,0,15,0,16,0,13,0,11,0,9,0,134,2,5,0,5,0,5,0,5,0,6,0,11,0,12,0,11,0,11,0,9,0,8,0,6,0,92,1
7,KUZEYEGE,GÃ–LHÄ°SAR,BURDUR,37.07008545,29.49649615,336,0.85,0.65,2,0,2,0,3,0,2,0,3,1,6,1,7,1,6,1,5,1,5,1,4,1,4,1,49,9,1,0,1,0,2,0,1,0,2,0,4,1,4,1,4,1,3,1,3,1,3,0,3,0,32,6
8,GÃœNEYEGE,TIRE,TIRE,38.0878154,27.72117303,80,0.97,0.65,6,0,6,0,6,0,5,0,7,0,13,0,12,0,12,0,11,0,11,0,9,0,8,0,105,3,4,0,4,0,4,0,3,0,4,0,8,0,8,0,8,0,7,0,7,0,6,0,5,0,68,2
9,KEYACC.GÃœNEYEGE,DENÄ°ZLÄ°,DENIZLI,37.7733197,29.0869273,237,0.21,0.68,0,1,1,2,1,2,1,3,0,2,1,3,0,1,1,3,0,2,0,2,0,2,1,2,6,24,0,1,0,2,0,2,1,2,0,1,1,2,0,1,1,2,0,1,0,1,0,1,0,1,4,16
10,KEYACC.GÃœNEYEGE,BORNOVA,IZMIR,38.4678978,27.26080492,20,0.71,0.68,6,2,2,1,7,3,8,3,8,3,12,5,2,1,8,3,5,2,1,0,2,1,2,1,62,25,4,2,1,1,5,2,5,2,6,2,8,3,1,0,5,2,3,1,0,0,1,1,1,0,42,17
11,KEYACC.GÃœNEYEGE,OSMANGAZÄ°,IZMIR,40.1982203,29.0612098,20,0.71,0.68,1,1,1,0,1,1,2,1,2,1,4,2,0,0,1,0,2,1,1,0,1,0,0,0,17,7,1,0,0,0,1,0,2,1,1,1,3,1,0,0,1,0,1,1,1,0,1,0,0,0,12,5
12,KEYACC.GÃœNEYEGE,ESKÄ°Ä°ZMÄ°R,IZMIR,38.3765921,27.107554,20,0.71,0.68,2,1,1,0,3,1,3,1,3,1,2,1,1,0,1,1,3,1,1,1,0,0,1,1,22,9,2,1,1,0,2,1,2,1,2,1,1,0,0,0,1,0,2,1,1,0,0,0,1,0,15,6
13,KEYACC.GÃœNEYEGE,AYDIN,AYDIN,37.8413007,27.8328374,129,0.21,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
14,DOÄžUMARMARA&Ä°STANBULASYA,ADAPAZARI,ADAPAZARI,40.784799,30.3996833,497,0.98,0.73,8,0,11,0,9,0,6,0,4,0,22,0,20,0,18,0,11,0,21,0,13,0,16,0,158,3,5,0,8,0,6,0,5,0,3,0,16,0,15,0,13,0,8,0,15,0,9,0,12,0,115,2
15,DOÄžUMARMARA&Ä°STANBULASYA,BARTIN,BARTIN,41.6338394,32.3384354,733,0.48,0.61,1,1,2,2,2,2,1,1,2,2,5,5,5,5,4,5,3,3,3,4,4,4,2,2,33,35,0,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,2,2,2,2,2,2,1,1,20,22
16,DOÄžUMARMARA&Ä°STANBULASYA,BOLU,BOLU,40.6212099,31.6460259,620,0.85,0.73,5,1,4,1,4,1,3,1,2,0,9,2,11,2,8,1,5,1,9,2,4,1,7,1,72,13,3,1,3,0,3,0,2,0,1,0,7,1,8,1,6,1,4,1,7,1,3,1,5,1,52,9
17,DOÄžUMARMARA&Ä°STANBULASYA,CAYCUMA,ZONGULDAK,41.4652041,32.11347526,733,0.71,0.71,8,3,7,3,6,2,5,2,4,2,14,6,17,7,15,6,12,5,9,3,8,3,16,6,120,48,6,2,5,2,4,2,4,1,3,1,10,4,12,5,11,4,9,3,6,2,6,2,11,4,86,34
18,DOÄžUMARMARA&Ä°STANBULASYA,DUZCE,DUZCE,40.8774545,31.2009618,559,0.98,0.65,8,0,6,0,7,0,5,0,2,0,14,0,11,0,13,0,14,0,10,0,9,0,9,0,107,2,5,0,4,0,4,0,3,0,1,0,9,0,7,0,8,0,9,0,6,0,6,0,6,0,70,1
19,DOÄžUMARMARA&Ä°STANBULASYA,GEBZE,KOCAELI,40.8006696,29.431767,550,0.98,0.65,31,0,28,0,27,0,21,0,17,0,62,1,54,1,45,1,41,1,40,1,47,1,51,1,463,7,20,0,18,0,18,0,14,0,11,0,41,1,35,1,29,0,26,0,26,0,31,0,33,1,301,5
20,DOÄžUMARMARA&Ä°STANBULASYA,IZMIT,KOCAELI,40.765382,29.9406983,450,0.98,0.76,9,0,6,0,11,0,5,0,4,0,17,0,19,0,11,0,14,0,10,0,12,0,11,0,130,2,7,0,5,0,9,0,4,0,3,0,13,0,14,0,8,0,11,0,8,0,9,0,9,0,99,2
21,DOÄžUMARMARA&Ä°STANBULASYA,IZMIT,KOCAELI,40.765382,29.9406983,450,0.92,0.73,11,1,6,1,12,1,5,0,6,0,23,2,21,2,13,1,15,1,13,1,14,1,15,1,154,13,8,1,4,0,9,1,4,0,4,0,17,1,16,1,9,1,11,1,9,1,10,1,11,1,112,9
22,DOÄžUMARMARA&Ä°STANBULASYA,KADIKOY,ISTANBUL,40.9915716,29.0270173,548,0.98,0.73,31,0,18,0,23,0,17,0,17,0,66,1,47,1,39,1,40,1,28,0,33,1,54,1,412,7,22,0,13,0,17,0,12,0,13,0,48,1,34,1,28,0,29,0,20,0,24,0,40,1,299,5
23,DOÄžUMARMARA&Ä°STANBULASYA,KANDIRA,KOCAELI,41.04150995,30.06967902,548,0.48,0.73,1,1,1,1,2,2,1,1,2,2,4,4,6,6,5,5,3,3,3,3,3,3,2,2,32,35,1,1,1,1,1,2,1,1,2,2,3,3,4,5,4,4,2,2,2,2,2,2,1,1,24,25
24,DOÄžUMARMARA&Ä°STANBULASYA,KARABUK,KARABUK,41.1955402,32.6231154,744,0.48,0.57,2,2,3,3,2,2,3,3,1,1,5,5,4,4,2,2,5,5,3,3,3,4,3,3,35,37,1,1,2,2,1,1,1,2,0,0,3,3,2,2,1,1,3,3,2,2,2,2,2,2,20,22
25,DOÄžUMARMARA&Ä°STANBULASYA,KARADENÄ°ZEREÄžLÄ°,ZONGULDAK,41.2794917,31.421792,653,0.71,0.73,4,2,2,1,3,1,2,1,2,1,7,3,8,3,6,2,6,2,6,3,3,1,5,2,55,22,3,1,2,1,2,1,2,1,2,1,5,2,6,2,4,2,4,2,5,2,3,1,3,1,40,16
26,DOÄžUMARMARA&Ä°STANBULASYA,KARASU,SAKARYA,41.0506443,30.69192821,497,0.71,0.73,1,0,1,0,2,1,1,0,1,0,5,2,4,2,3,1,3,1,3,1,3,1,2,1,28,11,1,0,1,0,1,1,1,0,1,0,3,1,3,1,2,1,2,1,2,1,2,1,1,1,21,8
27,DOÄžUMARMARA&Ä°STANBULASYA,KARTAL,ISTANBUL,40.8884921,29.1896017,535,0.91,0.73,38,2,46,2,40,3,35,2,38,4,97,16,78,13,71,8,57,5,51,3,58,3,79,3,687,65,27,2,33,2,29,2,25,2,27,3,70,12,57,9,52,6,41,4,37,2,42,2,57,2,499,48
28,DOÄžUMARMARA&Ä°STANBULASYA,SILE,ISTANBUL,41.1744067,29.6125216,562,0.71,0.73,2,1,1,0,1,0,1,0,2,1,6,2,5,2,3,1,3,1,2,1,2,1,2,1,30,12,1,0,1,0,1,0,1,0,2,1,4,2,3,1,2,1,2,1,1,0,1,1,2,1,22,9
29,GÃœNEYDOÄžU&DOÄžUANADOLU,ADANA,ADANA,36.9936175,35.3258349,881,0.98,0.73,16,0,21,0,20,0,15,0,17,0,48,1,29,0,30,0,28,0,24,0,27,0,26,0,300,5,12,0,15,0,14,0,11,0,12,0,35,1,21,0,22,0,20,0,18,0,20,0,19,0,218,4
30,GÃœNEYDOÄžU&DOÄžUANADOLU,ADIYAMAN,ADIYAMAN,37.7640008,38.2764355,1210,0.92,0.61,3,0,2,0,3,0,3,0,1,0,9,1,9,1,6,1,7,1,5,0,7,1,5,0,61,5,2,0,1,0,2,0,2,0,1,0,5,0,6,0,4,0,4,0,3,0,4,0,3,0,37,3
31,GÃœNEYDOÄžU&DOÄžUANADOLU,ANAMUR,MERSIN,36.27231265,32.77112909,767,0.92,0.75,3,0,3,0,5,0,3,0,4,0,10,1,9,1,8,1,9,1,6,0,7,1,9,1,79,7,3,0,3,0,4,0,3,0,3,0,8,1,7,1,6,1,7,1,4,0,5,0,7,1,59,5
32,GÃœNEYDOÄžU&DOÄžUANADOLU,ANTAKYA,HATAY,36.22808115,36.24151483,1052,0.98,0.71,2,0,2,0,2,0,1,0,1,0,4,0,4,0,3,0,3,0,3,0,2,0,1,0,27,0,1,0,1,0,1,0,1,0,1,0,3,0,3,0,2,0,2,0,2,0,1,0,1,0,19,0
33,GÃœNEYDOÄžU&DOÄžUANADOLU,ANTAKYA,HATAY,36.22808115,36.24151483,1052,0.98,0.69,6,0,8,0,8,0,9,0,12,0,30,0,20,0,13,0,16,0,17,0,12,0,10,0,160,3,4,0,5,0,5,0,6,0,9,0,20,0,13,0,9,0,11,0,12,0,8,0,7,0,110,2
34,GÃœNEYDOÄžU&DOÄžUANADOLU,DÄ°YARBAKIR,DÄ°YARBAKIR,37.9167467,40.2227753,1503,0.98,0.76,10,0,8,0,9,0,6,0,7,0,22,0,21,0,18,0,19,0,14,0,14,0,11,0,158,3,8,0,6,0,7,0,4,0,5,0,16,0,16,0,14,0,15,0,10,0,10,0,8,0,120,2
35,GÃœNEYDOÄžU&DOÄžUANADOLU,CEYHAN,ADANA,37.0556361,35.87123124,881,0.59,0.73,1,0,1,0,1,0,0,0,1,0,2,1,2,1,1,1,1,1,1,1,1,1,1,1,12,8,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,9,6
36,GÃœNEYDOÄžU&DOÄžUANADOLU,DERIK,MARDIN,37.3648746,40.2694738,1421,0.92,0.73,1,0,3,0,2,0,2,0,1,0,4,0,3,0,3,0,4,0,4,0,4,0,1,0,32,3,1,0,2,0,2,0,1,0,1,0,3,0,2,0,2,0,3,0,3,0,3,0,1,0,23,2
37,GÃœNEYDOÄžU&DOÄžUANADOLU,ELAZIG,ELAZIG,38.674771,39.2224523,1340,0.92,0.75,3,0,4,0,4,0,2,0,7,1,12,1,5,0,7,1,7,1,4,0,7,1,4,0,67,6,2,0,3,0,3,0,2,0,5,0,9,1,4,0,5,0,5,0,3,0,5,0,3,0,50,4
38,GÃœNEYDOÄžU&DOÄžUANADOLU,ELBISTAN,KAHRAMANMARAS,38.2022294,37.1903006,1106,0.97,0.69,0,0,3,0,4,0,3,0,4,0,9,0,8,0,7,0,7,0,9,0,6,0,2,0,61,2,0,0,2,0,3,0,2,0,3,0,6,0,6,0,5,0,5,0,6,0,4,0,1,0,42,1
39,GÃœNEYDOÄžU&DOÄžUANADOLU,GAZIANTEP,GAZIANTEP,37.0611756,37.3793085,1095,0.98,0.73,10,0,8,0,10,0,8,0,7,0,22,0,25,0,23,0,15,0,20,0,14,0,8,0,171,3,7,0,6,0,7,0,6,0,5,0,16,0,18,0,17,0,11,0,15,0,10,0,6,0,124,2
40,GÃœNEYDOÄžU&DOÄžUANADOLU,IGDIR,IGDIR,39.8945292,43.9427459,1746,0.21,0.74,0,1,0,1,0,1,0,0,0,0,0,2,0,2,1,2,0,1,0,2,0,2,0,1,4,14,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,2,0,1,0,1,0,1,0,1,3,10
41,GÃœNEYDOÄžU&DOÄžUANADOLU,ISKENDERUN,HATAY,36.6215136,36.2654181,1004,0.98,0.73,4,0,8,0,7,0,6,0,9,0,19,0,17,0,16,0,11,0,13,0,12,0,8,0,130,2,3,0,6,0,5,0,5,0,6,0,14,0,13,0,12,0,8,0,9,0,9,0,6,0,94,2
42,GÃœNEYDOÄžU&DOÄžUANADOLU,K.MARAS,KAHRAMANMARAS,37.7830345,36.830655,1074,0.92,0.73,2,0,2,0,3,0,3,0,4,0,10,1,8,1,7,1,6,0,5,0,5,0,3,0,57,5,1,0,1,0,2,0,2,0,3,0,7,1,6,1,5,0,4,0,4,0,4,0,2,0,41,3
43,GÃœNEYDOÄžU&DOÄžUANADOLU,OSMANÄ°YE,OSMANIYE,37.073671,36.255941,990,0.98,0.76,7,0,9,0,8,0,6,0,8,0,15,0,14,0,13,0,15,0,13,0,13,0,9,0,130,2,6,0,7,0,6,0,4,0,6,0,12,0,11,0,10,0,11,0,10,0,10,0,7,0,99,2
44,GÃœNEYDOÄžU&DOÄžUANADOLU,KARAMAN,KARAMAN,37.1796848,33.3383665,594,0.85,0.73,2,0,3,0,2,0,2,0,2,0,5,1,5,1,3,1,4,1,3,1,4,1,3,0,38,7,2,0,2,0,1,0,1,0,2,0,4,1,4,1,2,0,3,1,2,0,3,1,2,0,28,5
45,GÃœNEYDOÄžU&DOÄžUANADOLU,MALATYA,MALATYA,38.3483098,38.3178715,1240,0.97,0.73,3,0,3,0,5,0,4,0,5,0,14,0,11,0,10,0,10,0,5,0,8,0,5,0,83,3,2,0,2,0,3,0,3,0,4,0,10,0,8,0,8,0,7,0,4,0,6,0,4,0,60,2
46,GÃœNEYDOÄžU&DOÄžUANADOLU,MERSIN,MERSIN,36.8117583,34.6292679,867,0.98,0.69,12,0,13,0,18,0,13,0,12,0,48,1,31,1,29,0,34,1,24,0,26,0,20,0,282,5,8,0,9,0,12,0,9,0,8,0,33,1,21,0,20,0,23,0,16,0,18,0,14,0,194,3
47,GÃœNEYDOÄžU&DOÄžUANADOLU,MUT,MERSIN,36.70470335,33.36590993,1039,0.92,0.73,1,0,2,0,2,0,2,0,2,0,4,0,5,0,5,0,2,0,4,0,4,0,4,0,37,3,1,0,1,0,2,0,1,0,2,0,3,0,4,0,4,0,2,0,3,0,3,0,3,0,27,2
48,GÃœNEYDOÄžU&DOÄžUANADOLU,S.URFA,SANLIURFA,37.441,38.8213,1227,0.85,0.66,3,1,2,0,3,1,2,0,0,0,5,1,5,1,5,1,5,1,5,1,6,1,4,1,46,8,2,0,1,0,2,0,1,0,0,0,3,1,3,1,3,1,4,1,3,1,4,1,3,0,31,5
49,GÃœNEYDOÄžU&DOÄžUANADOLU,SILIFKE,MERSIN,36.5922712,33.94924934,795,0.98,0.75,6,0,7,0,6,0,6,0,7,0,17,0,19,0,16,0,13,0,12,0,8,0,9,0,126,2,4,0,5,0,4,0,5,0,5,0,12,0,15,0,12,0,10,0,9,0,6,0,7,0,95,2
50,GÃœNEYDOÄžU&DOÄžUANADOLU,SÄ°Ä°RT,SÄ°Ä°RT,37.9273232,41.9422042,1503,0.48,0.71,1,1,1,1,1,1,1,1,0,0,2,2,2,2,1,2,1,1,1,1,1,1,1,1,12,13,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9
51,GÃœNEYDOÄžU&DOÄžUANADOLU,TUNCELI,TUNCELI,39.1080631,39.548197,1379,0.98,0.68,3,0,4,0,5,0,4,0,8,0,11,0,11,0,10,0,8,0,7,0,6,0,5,0,81,1,2,0,3,0,3,0,2,0,5,0,7,0,8,0,7,0,6,0,5,0,4,0,3,0,55,1
52,GÃœNEYDOÄžU&DOÄžUANADOLU,VAN,VAN,38.3249599,43.6589825,1776,0.98,0.73,1,0,2,0,3,0,2,0,1,0,5,0,4,0,4,0,5,0,4,0,4,0,4,0,38,1,1,0,1,0,2,0,1,0,1,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,28,0
53,Ä°Ã‡ANADOLU,AKSARAY,AKSARAY,38.4326291,33.8976963,692,0.38,0.73,0,1,1,1,1,1,0,1,1,1,1,2,2,3,2,2,1,2,1,2,1,2,1,1,12,20,0,0,1,1,1,1,0,0,1,1,1,2,1,2,1,2,1,2,1,1,1,1,1,1,9,14
54,Ä°Ã‡ANADOLU,ANKARA,ANKARA,39.9207486,32.8540093,580,0.98,0.69,63,1,73,1,88,1,62,1,95,2,170,3,139,2,129,2,121,2,99,2,125,2,130,2,"1,292",21,43,1,50,1,60,1,42,1,65,1,117,2,96,2,89,1,84,1,68,1,86,1,89,1,890,14
55,Ä°Ã‡ANADOLU,CORUM,CORUM,40.5698389,34.7269292,822,0.65,0.69,2,1,2,1,4,2,4,2,6,3,8,4,6,3,9,5,2,1,10,5,2,1,3,2,57,30,1,1,1,1,2,1,2,1,4,2,5,3,4,2,6,3,2,1,7,3,2,1,2,1,39,21
56,Ä°Ã‡ANADOLU,Ã‡ANKIRI,CANKIRI,40.6667691,33.4526069,660,0.59,0.65,1,1,1,1,2,1,1,1,1,1,3,2,3,2,2,2,3,2,2,2,2,1,1,0,21,15,1,0,1,0,1,1,1,0,1,1,2,1,2,1,2,1,2,1,2,1,1,1,0,0,14,10
57,Ä°Ã‡ANADOLU,"GÃœDÃœL,ANKARA",ANKARA,40.2011661,32.23581972,580,0.38,0.73,1,2,1,2,1,2,1,2,1,2,3,4,2,4,2,4,2,4,2,3,2,3,1,2,20,32,1,1,1,2,1,1,1,1,1,1,2,3,2,3,2,3,2,3,1,2,1,2,1,1,15,23
58,Ä°Ã‡ANADOLU,KAYSERI,KAYSERI,38.6582232,35.5546374,872,0.92,0.73,5,0,7,1,6,1,6,1,6,1,15,1,9,1,15,1,14,1,9,1,12,1,14,1,117,10,4,0,5,0,5,0,5,0,5,0,11,1,7,1,11,1,10,1,6,1,8,1,10,1,85,7
59,Ä°Ã‡ANADOLU,KIRIKKALE,KIRIKKALE,39.8473604,33.5144853,670,0.85,0.73,2,0,4,1,5,1,3,1,5,1,8,1,9,2,7,1,7,1,5,1,7,1,3,1,64,11,1,0,3,0,3,1,2,0,3,1,6,1,6,1,5,1,5,1,4,1,5,1,2,0,46,8
60,Ä°Ã‡ANADOLU,KIRSEHIR,KIRSEHIR,39.1461142,34.1605587,735,0.85,0.63,1,0,2,0,3,1,2,0,3,1,5,1,6,1,5,1,4,1,3,1,5,1,2,0,42,8,1,0,1,0,2,0,1,0,2,0,3,1,4,1,3,1,3,0,2,0,3,1,1,0,27,5
61,Ä°Ã‡ANADOLU,KONYA,KONYA,37.8719963,32.4844015,550,0.85,0.73,10,2,11,2,11,2,5,1,7,1,21,4,19,3,17,3,17,3,8,2,16,3,4,1,147,26,7,1,8,1,8,1,4,1,5,1,15,3,14,2,12,2,12,2,6,1,12,2,3,1,108,19
62,Ä°Ã‡ANADOLU,NIGDE,NIGDE,38.0664691,34.7051438,691,0.92,0.67,4,0,6,1,6,1,4,0,6,0,13,1,12,1,10,1,9,1,9,1,9,1,5,0,93,8,3,0,4,0,4,0,3,0,4,0,9,1,8,1,7,1,6,0,6,1,6,1,4,0,63,5
63,Ä°Ã‡ANADOLU,NEVSEHIR,NEVSEHIR,38.7235072,34.7194168,761,0.92,0.59,1,0,1,0,2,0,1,0,1,0,3,0,3,0,2,0,2,0,2,0,2,0,1,0,23,2,1,0,1,0,1,0,1,0,1,0,2,0,2,0,1,0,1,0,1,0,1,0,1,0,14,1
64,Ä°Ã‡ANADOLU,K.EREGLI,KONYA,37.5142466,34.0480033,682,0.78,0.75,3,1,2,1,3,1,3,1,3,1,8,2,8,2,6,2,5,1,5,1,6,2,2,1,55,16,2,1,2,1,3,1,2,1,3,1,6,2,6,2,4,1,4,1,4,1,5,1,2,0,41,12
65,Ä°Ã‡ANADOLU,POLATLI,ANKARA,39.4579327,32.17548926,503,0.92,0.65,3,0,4,0,3,0,2,0,2,0,6,1,4,0,5,0,5,0,4,0,5,0,2,0,46,4,2,0,2,0,2,0,1,0,1,0,4,0,3,0,3,0,3,0,3,0,3,0,1,0,30,3
66,Ä°Ã‡ANADOLU,SIVAS,SIVAS,39.4191717,37.1012388,1023,0.78,0.69,1,0,2,1,1,0,1,0,2,1,4,1,4,1,4,1,4,1,3,1,1,0,4,1,32,9,1,0,1,0,1,0,1,0,1,0,3,1,3,1,3,1,3,1,2,1,1,0,3,1,22,6
67,Ä°Ã‡ANADOLU,"DÄ°VRÄ°GÄ°,SÄ°VAS",SIVAS,39.37041965,38.03575655,966,0.85,0.65,1,0,2,0,2,0,1,0,3,0,4,1,5,1,4,1,4,1,2,0,2,0,2,0,33,6,1,0,1,0,1,0,1,0,2,0,2,0,3,1,3,0,3,1,1,0,2,0,1,0,21,4
68,Ä°Ã‡ANADOLU,YOZGAT,YOZGAT,39.8205571,34.8094917,1023,0.71,0.62,2,1,2,1,2,1,2,1,1,0,4,2,5,2,4,2,2,1,4,2,3,1,1,0,34,13,1,0,1,1,1,1,1,0,1,0,3,1,3,1,3,1,2,1,3,1,2,1,1,0,21,8
69,Ä°STANBULAVRUPA,BAHCELIEVLER,ISTANBUL,38.881312,35.6277609,550,0.98,0.65,20,0,34,1,23,0,12,0,18,0,48,1,37,1,35,1,29,0,39,1,33,1,53,1,380,6,13,0,22,0,15,0,8,0,12,0,31,1,24,0,22,0,19,0,26,0,21,0,35,1,247,4
70,Ä°STANBULAVRUPA,BAKIRKOY,ISTANBUL,40.9835414,28.8679735,558,0.98,0.73,12,0,14,0,11,0,7,0,13,0,24,0,27,0,17,0,12,0,25,0,19,0,9,0,189,3,8,0,10,0,8,0,5,0,9,0,18,0,20,0,12,0,9,0,18,0,13,0,7,0,137,2
71,Ä°STANBULAVRUPA,ESENYURT,ISTANBUL,41.0342402,28.6800178,581,0.98,0.74,22,0,25,0,23,0,13,0,26,0,41,1,46,1,37,1,30,0,36,1,32,1,46,1,379,6,16,0,19,0,17,0,10,0,19,0,30,0,34,1,28,0,22,0,27,0,24,0,34,1,279,5
72,Ä°STANBULAVRUPA,AVRUPA,ISTANBUL,38.7489073,41.50868567,535,0.98,0.69,76,1,86,1,91,1,68,1,83,1,155,3,150,2,125,2,106,2,101,2,126,2,152,2,"1,320",21,52,1,59,1,62,1,47,1,57,1,107,2,104,2,86,1,73,1,70,1,87,1,105,2,909,15
73,Ä°STANBULAVRUPA,SEFAKOY,ISTANBUL,40.8997011,40.3093913,570,0.98,0.73,10,0,24,0,21,0,11,0,18,0,34,1,37,1,33,1,32,1,22,0,34,1,32,1,308,5,8,0,17,0,15,0,8,0,13,0,24,0,27,0,24,0,23,0,16,0,25,0,23,0,224,4
74,Ä°STANBULAVRUPA,SILIVRI,ISTANBUL,41.0732043,28.2469222,558,0.98,0.73,10,0,11,0,13,0,5,0,14,0,34,1,39,1,25,0,25,0,9,0,12,0,21,0,219,4,7,0,8,0,10,0,4,0,10,0,24,0,29,0,18,0,18,0,7,0,9,0,15,0,159,3
75,Ä°STANBULAVRUPA,SILIVRISELIMPASA,ISTANBUL,41.0609656,28.3378927,550,0.98,0.73,10,0,13,0,11,0,6,0,13,0,22,0,22,0,18,0,17,0,10,0,11,0,18,0,170,3,7,0,9,0,8,0,4,0,9,0,16,0,16,0,13,0,12,0,8,0,8,0,13,0,124,2
76,KUZEYANADOLU,AMASYA,AMASYA,40.6503248,35.8329148,943,0.85,0.77,2,0,3,1,5,1,2,0,4,1,11,2,7,1,10,2,8,1,8,1,5,1,14,2,80,14,2,0,2,0,4,1,2,0,3,1,8,2,5,1,7,1,6,1,6,1,4,1,11,2,61,11
77,KUZEYANADOLU,ARDAHAN,ARDAHAN,41.0372501,42.7462189,1680,0.29,0.73,0,1,0,1,0,1,0,1,0,1,1,2,1,2,1,2,1,1,1,1,0,1,0,1,5,13,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,4,9
78,KUZEYANADOLU,ARTVIN,ARTVIN,41.160506,41.8398627,1552,0.92,0.66,2,0,1,0,3,0,2,0,3,0,8,1,7,1,5,0,3,0,4,0,5,0,3,0,45,4,1,0,1,0,2,0,1,0,2,0,5,0,4,0,3,0,2,0,3,0,4,0,2,0,30,2
79,KUZEYANADOLU,ERZINCAN,ERZINCAN,39.7496052,39.4941023,1263,0.85,0.73,2,0,3,1,3,1,2,0,5,1,7,1,7,1,6,1,6,1,5,1,3,1,3,1,52,9,1,0,2,0,2,0,1,0,4,1,5,1,5,1,4,1,4,1,4,1,2,0,2,0,38,7
